Package,Klassen,Methoden,Zeilen,Verzweigungen
de.ruv.baustein.basis.common.schwellwert,1,12,85,24
de.ruv.baustein.verbundtestinstitut.domain.logic,1,2,5,2
de.ruv.baustein.verbundtestinstitut.domain.models,1,6,8,
de.ruv.landing.bean,1,19,43,4
de.ruv.vrrente.common.logging,1,25,97,
de.ruv.vrrente.domain.common.exception,2,4,8,
de.ruv.vrrente.domain.logic,1,8,28,
de.ruv.vrrente.domain.logic.adresspruefung,3,14,67,38
de.ruv.vrrente.domain.logic.angebotberechnen,1,3,12,2
de.ruv.vrrente.domain.logic.angebotdrucken,1,3,12,2
de.ruv.vrrente.domain.logic.antrag,1,23,201,32
de.ruv.vrrente.domain.logic.antragdrucken,1,3,12,2
de.ruv.vrrente.domain.logic.antragpruefen,1,3,9,
de.ruv.vrrente.domain.logic.antragverarbeiten,1,3,12,2
de.ruv.vrrente.domain.logic.common,2,15,127,14
de.ruv.vrrente.domain.logic.common.mail,1,25,240,54
de.ruv.vrrente.domain.logic.dummy,1,7,29,2
de.ruv.vrrente.domain.logic.inkasso,1,2,10,4
de.ruv.vrrente.domain.logic.izk,6,28,177,66
de.ruv.vrrente.domain.logic.izk.builder,8,17,38,10
de.ruv.vrrente.domain.logic.ladelisten,1,5,15,2
de.ruv.vrrente.domain.logic.partnersuche,1,5,26,8
de.ruv.vrrente.domain.logic.processstart,1,11,91,30
de.ruv.vrrente.domain.logic.rueckrufwunsch,1,4,26,2
de.ruv.vrrente.domain.logic.rzgateway,1,3,7,
de.ruv.vrrente.domain.logic.tabexinfo,1,7,78,34
de.ruv.vrrente.domain.logic.vorschlag,1,3,23,
de.ruv.vrrente.domain.models,6,59,125,46
de.ruv.vrrente.domain.models.adresspruefung,2,11,17,4
de.ruv.vrrente.domain.models.angebot,1,17,27,
de.ruv.vrrente.domain.models.antrag,2,28,45,
de.ruv.vrrente.domain.models.common,1,3,13,4
de.ruv.vrrente.domain.models.common.ansprechpartner,2,36,53,
de.ruv.vrrente.domain.models.common.dokument,3,27,43,
de.ruv.vrrente.domain.models.common.inkasso,5,35,58,4
de.ruv.vrrente.domain.models.common.izk,1,15,27,
de.ruv.vrrente.domain.models.common.kunde,5,57,101,4
de.ruv.vrrente.domain.models.common.rz,1,11,20,
de.ruv.vrrente.domain.models.common.tarifierung,6,73,112,2
de.ruv.vrrente.domain.models.common.versicherung,5,39,57,
de.ruv.vrrente.domain.models.integrator,5,63,95,
de.ruv.vrrente.domain.models.izk,6,44,126,6
de.ruv.vrrente.domain.models.mail,1,3,6,
de.ruv.vrrente.domain.models.mail.impl,2,6,6,
de.ruv.vrrente.domain.models.partner,4,63,94,
de.ruv.vrrente.integration.adresspruefung,1,5,47,12
de.ruv.vrrente.integration.basis,2,14,57,17
de.ruv.vrrente.integration.common.jaxb,2,52,465,166
de.ruv.vrrente.integration.integrator,1,2,4,
de.ruv.vrrente.integration.integrator.impl,1,3,25,
de.ruv.vrrente.integration.rentenversicherung.berechneangebot,1,3,25,2
de.ruv.vrrente.integration.rentenversicherung.controller,1,8,12,
de.ruv.vrrente.integration.rentenversicherung.druckeangebot,1,3,36,8
de.ruv.vrrente.integration.rentenversicherung.druckeantrag,1,3,22,2
de.ruv.vrrente.integration.rentenversicherung.holeversicherungsbeginn,1,2,7,
de.ruv.vrrente.integration.rentenversicherung.pruefeantrag,1,3,27,2
de.ruv.vrrente.integration.rentenversicherung.verarbeiteantrag,1,3,24,2
de.ruv.vrrente.integration.verbundintegration.service.impl,3,15,112,38
de.ruv.vrrente.protokollierungdatenuebernahme.domain.dto,1,2,4,
de.ruv.vrrente.protokollierungdatenuebernahme.domain.logic,1,7,46,
de.ruv.vrrente.protokollierungdatenuebernahme.domain.models,2,28,41,
de.ruv.vrrente.ui.beans,119,1372,730,120
de.ruv.vrrente.ui.beans.facade,1,10,27,8
de.ruv.vrrente.ui.beans.ladetarif,1,14,35,12
de.ruv.vrrente.ui.common,1,14,39,
de.ruv.vrrente.ui.common.exception,3,8,42,6
de.ruv.vrrente.ui.controller,118,270,1485,498
de.ruv.vrrente.ui.controller.comparator,1,2,2,
de.ruv.vrrente.ui.converters,12,47,198,78
de.ruv.vrrente.ui.enums,11,26,73,8
de.ruv.vrrente.ui.fieldcontrol,2,28,90,42
de.ruv.vrrente.ui.filter,3,16,61,10
de.ruv.vrrente.ui.mapper,2,37,393,94
de.ruv.vrrente.ui.tracking,1,9,46,20
de.ruv.vrrente.ui.util,4,35,93,30
de.ruv.vrrente.ui.validator,1,3,10,8
de.ruv.vrrente.validator.annotation,,,,
de.ruv.vrrente.validator.annotation.impl,10,34,164,76
de.ruv.vrrente.validator.group,,,,
de.ruv.vrrente.validator.utils,1,5,15,